LAT;LON;YEAR;DOY;PRECTOT;WS2M;RH2M;T2MDEW;PS;ALLSKY;T2M
50.09881;18.47511;2000;74;2.75;4.64;86.75;1.59;98.53;9.14;3.77
50.09881;18.47511;2000;75;5.9;5.85;79.66;-1.74;98.2;10.58;1.55
50.09881;18.47511;2000;76;2.3;2.74;76.29;-4.26;98.52;8.53;-0.73
50.09881;18.47511;2000;77;3.58;3.02;81.63;-3.54;98.45;6.26;-0.89
50.09881;18.47511;2000;78;1.91;3.83;81.84;-3.32;98.83;5.36;-0.69
50.09881;18.47511;2000;79;3.19;3.11;87.85;-3.2;99.18;6.3;-1.51
50.09881;18.47511;2000;80;0.57;2.07;82.93;-3.73;99.26;10.87;-1.2
50.09881;18.47511;2000;81;2.26;2.13;97.44;1.95;98.95;5.98;2.31
50.09881;18.47511;2000;82;0.18;1.64;87.3;1.85;98.81;12.35;3.78
50.09881;18.47511;2000;83;0.01;2.12;84.76;3.46;98.42;13.75;5.92
50.09881;18.47511;2000;84;0.01;2.06;79.78;1.31;98.45;13.43;4.53
50.09881;18.47511;2000;85;2.63;2.52;91.01;2.85;98.55;6.62;4.39
50.09881;18.47511;2000;86;0.27;2.49;85.53;5.21;98.21;13.25;7.53
50.09881;18.47511;2000;87;2.61;1.82;88.61;6.26;97.52;9.18;8.04
50.09881;18.47511;2000;88;7.99;0.97;90.88;5.45;97.87;7.09;6.84
50.09881;18.47511;2000;89;0.38;2.79;84.51;4.16;98.41;14.36;6.6
50.09881;18.47511;2000;90;7.93;4.86;79.66;2.9;97.55;11.3;6.17
50.09881;18.47511;2000;91;2.51;3.45;85.3;1.95;97.39;6.8;4.18
50.09881;18.47511;2000;92;0.33;2.19;78.72;2.12;97.58;10.48;5.53
50.09881;18.47511;2000;93;0.44;1.32;81.64;3.31;97.75;7.81;6.21
50.09881;18.47511;2000;94;0.01;3.62;78.57;4.06;97.3;12.31;7.66
50.09881;18.47511;2000;95;0.14;3.66;85.63;7.71;96.67;9.5;10.08
50.09881;18.47511;2000;96;6.98;3.84;92.51;6.91;96.81;5.65;8.18
50.09881;18.47511;2000;97;0.59;6.28;68.58;-3.67;98.44;11.77;1.43
50.09881;18.47511;2000;98;1.72;4;82.77;-0.16;99.15;6.98;2.67
50.09881;18.47511;2000;99;0.43;2.85;76.56;-2.08;99.11;8.42;1.61
50.09881;18.47511;2000;100;0;1.43;62.52;-2.58;98.71;14.26;3.9
50.09881;18.47511;2000;101;0.4;1.37;73.44;0.53;98.2;7.96;4.93
50.09881;18.47511;2000;102;0.26;3.09;76.42;3.62;97.2;9;7.63
50.09881;18.47511;2000;103;4.87;4.62;84.86;6.53;96.67;7.52;9.05
50.09881;18.47511;2000;104;0.31;3.07;75.16;4.42;97.28;16.81;8.73
50.09881;18.47511;2000;105;0.37;3.28;78.7;7.41;97.39;16.6;11
50.09881;18.47511;2000;106;1.28;2.18;79.99;8.62;97.19;18.86;12.03
50.09881;18.47511;2000;107;3.26;3.22;72.14;5.76;97.52;11.02;10.67
50.09881;18.47511;2000;108;0;2.79;70.44;7.73;97.57;19.04;13.24
50.09881;18.47511;2000;109;0.03;2.14;79.61;10.15;97.92;19.58;13.63
50.09881;18.47511;2000;110;0.74;1.79;76.4;12.46;97.81;17.32;16.7
50.09881;18.47511;2000;111;0.46;2.25;75.76;11.93;98.35;17.39;16.22
50.09881;18.47511;2000;112;0.09;1.21;68.85;11.69;98.57;18.07;17.5
50.09881;18.47511;2000;113;0.01;1.32;64.53;11.22;98.65;17.96;18.04
50.09881;18.47511;2000;114;0;2.16;62.63;9.9;98.36;22.61;17.13
50.09881;18.47511;2000;115;0.01;2.42;66.88;10.93;97.77;22.1;17.19
50.09881;18.47511;2000;116;4.83;2.73;91.14;11.45;98.08;5.76;12.84
50.09881;18.47511;2000;117;0.7;1.25;77.35;10.67;98.49;10.08;14.57
50.09881;18.47511;2000;118;0.01;2.2;73.81;11.24;98.69;20.52;15.94
50.09881;18.47511;2000;119;1.01;2.98;72.87;12.28;98.65;21.13;17.23
50.09881;18.47511;2000;120;0.27;2.56;68.09;12.29;98.84;20.99;18.3
50.09881;18.47511;2000;121;1.2;0.98;62.57;11.91;98.96;20.66;19.24
50.09881;18.47511;2000;122;0.68;2.53;65.67;12.22;98.72;20.81;18.78
50.09881;18.47511;2000;123;0;4.15;61.21;3.89;99.12;26.06;11.35
50.09881;18.47511;2000;124;0;1.79;55.32;1.55;99.15;26.64;10.2
50.09881;18.47511;2000;125;0.1;1.73;64.03;7.88;98.88;24.55;14.66
50.09881;18.47511;2000;126;0.05;0.8;57.12;8.01;98.8;22.46;16.54
50.09881;18.47511;2000;127;0;1.06;55.3;8.65;98.78;22.54;17.75
50.09881;18.47511;2000;128;0;2.69;63.79;9.62;98.98;25.24;16.52
50.09881;18.47511;2000;129;3.04;1.83;73.53;12.8;98.9;15.73;17.7
50.09881;18.47511;2000;130;1.42;1.4;77.78;13.38;98.86;16.34;17.3
50.09881;18.47511;2000;131;2.38;1.45;75.31;13.64;98.66;12.89;18.06
50.09881;18.47511;2000;132;0.08;1.01;66.92;13.1;98.59;22.54;19.39
50.09881;18.47511;2000;133;0.01;3.75;60.09;5.13;99.03;27.25;13.23
50.09881;18.47511;2000;134;0;2.46;54.09;0.55;99.53;28.62;9.49
50.09881;18.47511;2000;135;0;1.33;54.45;5.19;99.46;27.97;14.54
50.09881;18.47511;2000;136;0;0.73;51.92;8.65;99.22;28.84;18.74
50.09881;18.47511;2000;137;0;1.33;50.88;8.94;98.84;27.58;19.4
50.09881;18.47511;2000;138;0.01;2.78;52.77;10.2;98.33;26.64;20.22
50.09881;18.47511;2000;139;3.56;1.63;69.38;12.77;97.76;16.81;18.5
50.09881;18.47511;2000;140;9.55;2.34;80.47;8.97;97.79;7.13;12.28
50.09881;18.47511;2000;141;2.37;2.15;70.92;5.81;97.84;12.24;10.87
50.09881;18.47511;2000;142;1.53;2.36;69.33;5.69;97.97;12.56;11.09
50.09881;18.47511;2000;143;11.21;2.55;77.33;6.37;98.03;9.94;10.2
50.09881;18.47511;2000;144;5.49;2.84;78.2;9.15;98.76;13.79;12.85
50.09881;18.47511;2000;145;0.03;1.68;66.11;8.8;98.8;20.84;15.08
50.09881;18.47511;2000;146;0.02;3.33;61.54;10.5;98.48;25.13;18.03
50.09881;18.47511;2000;147;1.08;1.61;70.08;11.33;98.86;14.69;16.9
50.09881;18.47511;2000;148;0.7;3.66;64.33;12.93;98.33;27;19.88
50.09881;18.47511;2000;149;1.09;3.89;65.05;12.34;98.11;20.12;19.19
50.09881;18.47511;2000;150;7.52;2.17;73.38;7.95;98.18;8.75;12.68
50.09881;18.47511;2000;151;0.64;1.91;59.36;4.24;98.56;20.45;11.91
50.09881;18.47511;2000;152;7.66;2.63;81.57;7.57;98.46;5.54;10.59
50.09881;18.47511;2000;153;0.04;1.55;58.43;4.79;99.47;24.8;12.77
50.09881;18.47511;2000;154;0;2.54;54.91;7.11;99.33;28.69;16.37
50.09881;18.47511;2000;155;0;2;54.18;10.47;99.03;27.43;20.18
50.09881;18.47511;2000;156;0;2.55;52.17;11.31;98.82;27.43;21.6
50.09881;18.47511;2000;157;0.93;1.59;56.66;13.66;98.62;20.81;22.75
50.09881;18.47511;2000;158;4.22;2.41;67.27;14.01;98.25;15.98;20.34
50.09881;18.47511;2000;159;8.83;3.08;69.45;9.12;98.74;11.38;14.69
50.09881;18.47511;2000;160;0.04;2.07;56.37;5.84;99.24;23.9;14.42
50.09881;18.47511;2000;161;0;1.85;52.85;7.5;99.19;29.38;17.32
50.09881;18.47511;2000;162;0;2.17;57.78;12.55;98.82;28.91;21.27
50.09881;18.47511;2000;163;0;3.28;51.9;13.42;98.6;27.86;23.95
50.09881;18.47511;2000;164;0.26;2.73;62.94;14.82;99.13;19.55;22.22
50.09881;18.47511;2000;165;0.03;1.04;52.67;12.68;99.46;27.11;23.01
50.09881;18.47511;2000;166;3.07;1.41;60.23;15.7;98.93;16.31;23.89
50.09881;18.47511;2000;167;8.73;2.98;70.27;14.3;98.62;12.74;19.88
50.09881;18.47511;2000;168;0.65;4.06;59.77;5.46;98.92;16.99;13.28
50.09881;18.47511;2000;169;1.46;3.6;60;4.58;99.51;18.72;12.11
50.09881;18.47511;2000;170;0.03;1.89;52.23;4.48;99.78;15.62;14.15
50.09881;18.47511;2000;171;0;1.48;51.48;8.24;99.42;28.08;18.56
50.09881;18.47511;2000;172;0;1.46;42.49;9.18;98.92;28.58;22.61
50.09881;18.47511;2000;173;0;1.63;36.46;9.65;98.49;25.34;25.76
50.09881;18.47511;2000;174;0.94;1.72;39.64;12.74;98.38;22.28;27.9
50.09881;18.47511;2000;175;3.27;2.79;65.92;14.89;98.56;15.98;21.51
50.09881;18.47511;2000;176;1.38;1.11;61.52;10.89;98.37;11.02;18.53
50.09881;18.47511;2000;177;3.44;1.68;65.68;8.38;98.32;5.65;14.74
50.09881;18.47511;2000;178;1.86;3.04;58.86;6.07;98.57;10.98;14.09
50.09881;18.47511;2000;179;0.21;3.83;52.9;3.34;98.67;11.59;12.71
50.09881;18.47511;2000;180;0.07;2.75;48.2;2.52;98.5;14;13.25
50.09881;18.47511;2000;181;0.26;2.17;52.55;3.78;98.5;12.38;13.28
50.09881;18.47511;2000;182;0.07;2.5;47;3.32;98.36;13.54;14.52
50.09881;18.47511;2000;183;0.14;2.59;47.41;7.4;98.15;22.14;19.04
50.09881;18.47511;2000;184;0.68;1.98;58.45;11.44;98.24;13.14;19.8
50.09881;18.47511;2000;185;0.75;1.56;51.67;12.36;98.02;15.95;22.87
50.09881;18.47511;2000;186;6.92;1.74;60.97;15.11;97.68;18.76;23.04
50.09881;18.47511;2000;187;1;4.54;56.87;11.44;98;18.4;20.38
50.09881;18.47511;2000;188;0.7;3.94;56.54;10.03;98.57;15.88;18.85
50.09881;18.47511;2000;189;0.85;1.26;55.02;10.64;98.32;14.98;19.96
50.09881;18.47511;2000;190;10.8;3.03;78.97;12.65;97.52;7.34;16.31
50.09881;18.47511;2000;191;2.45;2.33;68.34;8.03;97.74;12.82;13.77
50.09881;18.47511;2000;192;0.07;3.83;50.28;8.08;97.17;14.94;18.65
50.09881;18.47511;2000;193;10.61;3.89;68.26;12.28;96.97;7.02;18.34
50.09881;18.47511;2000;194;3.13;2.74;74.28;9.72;97.68;11.48;14.23
50.09881;18.47511;2000;195;0.54;2.53;58.41;6.3;98.13;14.94;14.37
50.09881;18.47511;2000;196;0.37;2.24;56.38;7.02;97.45;19.69;15.78
50.09881;18.47511;2000;197;7.48;1.62;79.47;10.57;97.38;9.97;14.03
50.09881;18.47511;2000;198;43.55;3.64;94;12.08;97.6;5.98;13.03
50.09881;18.47511;2000;199;32.46;4.81;91.65;12.35;97.89;6.62;13.68
50.09881;18.47511;2000;200;0.62;2.98;76.1;10.3;98.45;11.12;14.43
50.09881;18.47511;2000;201;0.03;2.21;68.98;8.85;98.39;14.9;14.46
50.09881;18.47511;2000;202;1.65;2.11;75.43;9.47;98.6;9.5;13.72
50.09881;18.47511;2000;203;1;1.8;77.71;10.58;98.72;11.99;14.42
50.09881;18.47511;2000;204;1.37;1.17;74.02;11.31;98.7;13.9;15.94
50.09881;18.47511;2000;205;1.61;1.08;66.35;11.73;98.54;18.72;18.09
50.09881;18.47511;2000;206;0.59;1.44;69.5;13.63;97.99;17.28;19.43
50.09881;18.47511;2000;207;7.1;2.86;79.23;15.55;97.6;13.18;19.24
50.09881;18.47511;2000;208;9.88;1.83;74.94;14.09;97.83;16.96;18.63
50.09881;18.47511;2000;209;2.83;2.4;79.84;14.04;98.32;14.29;17.55
50.09881;18.47511;2000;210;11.91;1.72;79.96;14.49;98.11;11.16;17.99
50.09881;18.47511;2000;211;27.18;3.8;90.08;13.32;97.86;6.77;14.91
50.09881;18.47511;2000;212;6.76;3.32;80.7;13.08;98.53;15.84;16.38
50.09881;18.47511;2000;213;1.88;2.33;80.08;12.47;99.16;14.69;15.88
50.09881;18.47511;2000;214;0.02;1.59;67.29;11.73;99.19;19.58;17.86
50.09881;18.47511;2000;215;0.31;3.24;68.15;13.9;98.79;26.06;20.05
50.09881;18.47511;2000;216;4.54;1.52;74.53;15.19;98.79;17.78;19.83
50.09881;18.47511;2000;217;12.4;1.96;84.71;14.88;98.82;13.32;17.47
50.09881;18.47511;2000;218;2.36;1.52;80.41;13.94;99.05;11.99;17.32
50.09881;18.47511;2000;219;3.04;1.79;81.64;15.46;98.7;7.63;18.76
50.09881;18.47511;2000;220;6.59;2.09;87.78;15.04;98.56;8.03;17.1
50.09881;18.47511;2000;221;0.03;1.79;70.61;10.03;98.88;16.63;15.37
50.09881;18.47511;2000;222;0.31;1.95;72.01;11.51;98.95;14.76;16.62
50.09881;18.47511;2000;223;0;1.32;65.65;11.7;98.86;20.52;18.35
50.09881;18.47511;2000;224;0.87;2.28;72.12;14.71;98.42;14.98;19.94
50.09881;18.47511;2000;225;0.08;1.29;73.41;14.26;98.54;17.46;19.13
50.09881;18.47511;2000;226;0.09;1.39;71.03;14.34;98.87;21.6;19.76
50.09881;18.47511;2000;227;0;1.25;68.62;14.48;99.04;20.27;20.44
50.09881;18.47511;2000;228;0;1.31;62.43;13.69;98.94;22.93;21.15
50.09881;18.47511;2000;229;0.28;1.77;65.76;15.38;98.62;17.57;22.16
50.09881;18.47511;2000;230;0.65;1.9;65.35;16.3;98.43;20.41;23.18
50.09881;18.47511;2000;231;3.05;1.05;63.24;15.53;98.62;20.23;22.92
50.09881;18.47511;2000;232;0.45;2.1;61.64;16.6;98.55;21.6;24.48
50.09881;18.47511;2000;233;0.25;1.58;55.06;15.86;98.43;20.23;25.59
50.09881;18.47511;2000;234;0.06;1.77;55.01;15.19;98.22;19.37;24.86
50.09881;18.47511;2000;235;1.87;2.8;72.59;13.57;98.62;10.98;18.65
50.09881;18.47511;2000;236;0.03;1.31;65.82;10.07;99.2;15.66;16.48
50.09881;18.47511;2000;237;0;1.38;57.8;8.58;99.12;15.55;16.94
50.09881;18.47511;2000;238;0.99;4.04;62.91;8.45;98.72;9.94;15.47
50.09881;18.47511;2000;239;0.02;2.53;67.47;8.37;99.05;12.49;14.27
50.09881;18.47511;2000;240;0;3.08;65.16;9.05;99.04;17.82;15.55
50.09881;18.47511;2000;241;0.02;1.43;60.53;9.92;98.94;15.8;17.64
50.09881;18.47511;2000;242;0.38;1.28;66.14;11.21;98.97;14.11;17.6
50.09881;18.47511;2000;243;0.07;0.9;61.77;10.51;98.67;15.77;17.94
50.09881;18.47511;2000;244;0.53;1.33;69.85;11.77;98.13;8.21;17.33
50.09881;18.47511;2000;245;0.06;1.89;63.9;10.71;97.77;13.07;17.66
50.09881;18.47511;2000;246;0.27;2.81;61.26;9.26;97.58;10.66;16.8
50.09881;18.47511;2000;247;3.72;3.76;66.56;9.11;97.54;8.42;15.3
50.09881;18.47511;2000;248;7.49;3.71;79.08;10.25;98.13;7.27;13.8
50.09881;18.47511;2000;249;2.49;3.41;67.26;5.95;98.79;10.12;11.95
50.09881;18.47511;2000;250;0.49;1.36;66.52;5.74;98.63;13.43;11.82
50.09881;18.47511;2000;251;2.01;1.62;72.56;6.12;98.15;8.21;10.91
50.09881;18.47511;2000;252;0.01;0.85;65.13;6.49;99.14;14.69;12.9
50.09881;18.47511;2000;253;0;2.04;57.91;8.25;99.51;18.65;16.63
50.09881;18.47511;2000;254;0;1.58;52.2;7.62;99.28;17.78;17.7
50.09881;18.47511;2000;255;0.53;1.21;74.94;13.09;98.81;9.04;17.59
50.09881;18.47511;2000;256;0.15;1.64;70.51;10.54;98.63;14.08;15.96
50.09881;18.47511;2000;257;1.16;2.61;66.07;11.77;98.19;15.34;18.28
50.09881;18.47511;2000;258;1.42;1.99;80.01;12.38;98.45;5.54;15.85
50.09881;18.47511;2000;259;0.09;1.9;72.6;8.21;98.87;8.17;13.11
50.09881;18.47511;2000;260;4.36;2.61;73.59;8.48;98.26;6.77;13.23
50.09881;18.47511;2000;261;9.93;1.92;85.61;9.75;97.8;3.6;12.1
50.09881;18.47511;2000;262;0.64;2.28;76.72;4.29;98.28;3.78;8.14
50.09881;18.47511;2000;263;0.13;1.78;78.52;4;98.33;4.61;7.46
50.09881;18.47511;2000;264;0.05;3.41;75.28;5.29;98.36;4.97;9.43
50.09881;18.47511;2000;265;5.11;4.84;76.73;5.82;98.5;4.5;9.74
50.09881;18.47511;2000;266;0.62;3.13;80.62;7.06;99.23;6.34;10.21
50.09881;18.47511;2000;267;0.02;2.64;72.67;4.43;99.69;7.56;9.1
50.09881;18.47511;2000;268;0;2.04;68.89;2.7;99.56;14.72;8.05
50.09881;18.47511;2000;269;0;1.04;69.28;5.16;99.41;11.16;10.56
50.09881;18.47511;2000;270;0;1.17;75.12;6.13;99.47;9.61;10.36
50.09881;18.47511;2000;271;0;1.76;67.76;7.13;99.16;14.33;13.01
50.09881;18.47511;2000;272;0.01;2.47;58.67;5.8;98.72;11.23;13.74
50.09881;18.47511;2000;273;0;2.25;57.29;5.14;98.37;13.5;13.44
50.09881;18.47511;2000;274;0;3.03;57.82;6.44;98.27;13.36;14.69
50.09881;18.47511;2000;275;0.25;4.1;69.2;10.43;98.12;8.53;16.1
50.09881;18.47511;2000;276;2.87;3.02;76.56;11.75;97.95;5.65;15.91
50.09881;18.47511;2000;277;4.27;2.01;89.96;13.36;98.93;0.83;14.97
50.09881;18.47511;2000;278;0.08;1.08;79.56;12.92;99.14;7.02;16.44
50.09881;18.47511;2000;279;0.07;1.16;71.16;10.94;98.71;10.66;16.23
50.09881;18.47511;2000;280;1.32;1.7;72.97;9.63;98.63;6.52;14.41
50.09881;18.47511;2000;281;1.4;2.19;78.72;9.06;98.84;2.66;12.66
50.09881;18.47511;2000;282;0.29;1.98;81.78;8.95;98.76;2.84;11.94
50.09881;18.47511;2000;283;0.58;1.29;79.42;8.16;98.17;2.74;11.59
50.09881;18.47511;2000;284;0.46;3.34;80.66;7.29;97.45;5.69;10.46
50.09881;18.47511;2000;285;0.41;4.55;80.88;9.66;97.01;3.56;12.87
50.09881;18.47511;2000;286;0;5.14;61.88;9.71;97.51;6.08;17.05
50.09881;18.47511;2000;287;0;4.12;64.34;10.69;98.3;7.99;17.5
50.09881;18.47511;2000;288;0;2.72;64.01;10.69;98.65;8.24;17.57
50.09881;18.47511;2000;289;0;1.92;66.01;10.36;98.72;9.83;16.74
50.09881;18.47511;2000;290;0;2.77;70.55;9.71;98.72;8.46;15.03
50.09881;18.47511;2000;291;0;2.22;69.07;9.71;99.04;8.06;15.35
50.09881;18.47511;2000;292;11.31;1.68;92.32;10.28;99.36;1.22;11.47
50.09881;18.47511;2000;293;0.13;1.23;81.55;8.16;99.33;4.36;11.26
50.09881;18.47511;2000;294;0.17;1.69;80.5;7.56;99.81;2.81;10.82
50.09881;18.47511;2000;295;0;2.68;64.43;1.03;100.12;9.83;7.34
50.09881;18.47511;2000;296;0;2.03;63.32;-0.01;100.17;9.79;6.44
50.09881;18.47511;2000;297;0;2.42;64.15;0.37;99.76;8.71;6.64
50.09881;18.47511;2000;298;0.18;3.73;83.91;4.19;98.99;5.69;7.02
50.09881;18.47511;2000;299;0.05;3.62;77.21;6.91;98.45;4.32;10.77
50.09881;18.47511;2000;300;2.88;3.75;85.42;9.07;98.07;4.75;11.43
50.09881;18.47511;2000;301;0.72;2.5;79.05;3.68;98.61;4.39;7.09
50.09881;18.47511;2000;302;0.01;3.06;83.81;4.91;98.92;4.97;7.55
50.09881;18.47511;2000;303;0.01;4.94;66.42;3.46;98.66;7.42;9.4
50.09881;18.47511;2000;304;0.01;4.66;77.92;6.2;98.03;6.62;10.08
50.09881;18.47511;2000;305;0.49;4.25;79.63;10.39;97.27;5.76;13.82
50.09881;18.47511;2000;306;11.65;1.73;92.11;5.48;97.83;1.01;6.72
50.09881;18.47511;2000;307;0.01;3.22;83.89;4.17;98.03;7.42;6.69
50.09881;18.47511;2000;308;0.03;4.51;80.22;6.41;97.68;5.51;9.65
50.09881;18.47511;2000;309;11.71;2.68;87.57;7.43;97.76;0.5;9.4
50.09881;18.47511;2000;310;5.55;2.17;81.29;2.59;98.47;3.92;5.7
50.09881;18.47511;2000;311;0.04;5.42;75.01;2.96;97.47;5.26;7.15
50.09881;18.47511;2000;312;5.38;4.63;85.15;6.89;96.33;0.68;9.3
50.09881;18.47511;2000;313;0.38;3.06;92.43;6.37;97.06;2.09;7.51
50.09881;18.47511;2000;314;0.28;2.68;86.34;4.19;97.94;4;6.33
50.09881;18.47511;2000;315;0.15;1.67;87.92;2.44;98.79;2.63;4.37
50.09881;18.47511;2000;316;0.02;2.51;81.06;-0.18;99.34;3.28;2.78
50.09881;18.47511;2000;317;0.02;4.17;85.82;2.26;98.85;5.36;4.41
50.09881;18.47511;2000;318;0.06;3.34;91.43;4.83;97.89;5.44;6.22
50.09881;18.47511;2000;319;0.07;3.48;92.81;10.32;97.63;3.89;11.44
50.09881;18.47511;2000;320;0.36;1.91;86.72;6.87;98.49;2.7;9.08
50.09881;18.47511;2000;321;12.33;1.72;89.25;4.61;98.57;2.48;6.28
50.09881;18.47511;2000;322;0.21;1.98;88.73;6.34;98.13;2.56;8.16
50.09881;18.47511;2000;323;7.1;1.66;93.2;3.81;98.35;0.18;4.95
